Date,Average PM2.5
2024-01-01,30.851358333333327
2024-01-02,15.099612499999997
2024-01-03,20.009045833333335
2024-01-04,20.07154583333333
2024-01-05,19.809691666666666
2024-01-06,23.829579166666676
2024-01-07,23.679270833333337
2024-01-08,26.911283333333344
2024-01-09,19.93869583333333
2024-01-10,29.801775000000003
2024-01-11,21.374849999999995
2024-01-12,25.647399999999994
2024-01-13,12.414366666666668
2024-01-14,18.540795833333334
2024-01-15,18.15242916666666
2024-01-16,23.685629166666676
2024-01-17,26.358087500000007
2024-01-18,30.237504166666664
2024-01-19,28.81445416666666
2024-01-20,22.908333333333328
2024-01-21,21.82679166666667
2024-01-22,23.60326249999999
2024-01-23,23.008337500000007
2024-01-24,25.47562500000002
2024-01-25,24.322008333333343
2024-01-26,21.66556666666666
2024-01-27,23.4058
2024-01-28,15.776954166666668
2024-01-29,18.67625
2024-01-30,13.737766666666667
2024-01-31,16.0151625
2024-02-01,22.532249999999987
2024-02-02,28.876508333333334
2024-02-03,30.249995833333344
2024-02-04,28.066158333333334
2024-02-05,16.834549999999997
2024-02-06,13.245170833333328
2024-02-07,23.684125000000012
2024-02-08,28.84730833333333
2024-02-09,20.03624583333334
2024-02-10,18.162404166666665
2024-02-11,16.570716666666666
2024-02-12,21.43549166666666
2024-02-13,13.981025000000002
2024-02-14,21.05613749999999
2024-02-15,17.892174999999995
2024-02-16,17.440333333333328
2024-02-17,21.755249999999993
2024-02-18,24.56632916666666
2024-02-19,23.440708333333323
2024-02-20,22.27391666666666
2024-02-21,23.957720833333337
2024-02-22,24.30824999999999
2024-02-23,26.973024999999996
2024-02-24,24.470650000000006
2024-02-25,20.815083333333337
2024-02-26,20.06307083333333
2024-02-27,23.137229166666668
2024-02-28,13.97094166666667
2024-02-29,15.539250000000003
2024-03-01,22.494074999999995
2024-03-02,29.19312916666667
2024-03-03,24.099000000000004
2024-03-04,26.269824999999997
2024-03-05,19.442362499999998
2024-03-06,16.710524999999997
2024-03-07,28.104491666666675
2024-03-08,29.15485
2024-03-09,21.33877083333334
2024-03-10,20.736766666666668
2024-03-11,22.090025
2024-03-12,22.39414583333333
2024-03-13,14.065783333333336
2024-03-14,17.574929166666667
2024-03-15,16.8753375
2024-03-16,18.88404999999999
2024-03-17,24.67356666666666
2024-03-18,26.333062499999986
2024-03-19,23.552579166666657
2024-03-20,24.14331249999999
2024-03-21,19.651025000000004
2024-03-22,21.809299999999993
2024-03-23,21.408999999999995
2024-03-24,23.52021666666667
2024-03-25,25.788979166666667
2024-03-26,17.345879166666666
2024-03-27,19.71484166666667
2024-03-28,15.2654
2024-03-29,15.378862500000002
2024-03-30,14.234458333333336
2024-03-31,14.28315416666667
2024-04-01,19.482729166666658
2024-04-02,24.606379166666667
2024-04-03,25.604833333333335
2024-04-04,29.230529166666667
2024-04-05,24.469995833333332
2024-04-06,22.11255416666667
2024-04-07,26.35677500000001
2024-04-08,25.86866250000001
2024-04-09,20.826975
2024-04-10,17.401795833333335
2024-04-11,16.61990833333333
2024-04-12,21.876608333333333
2024-04-13,15.684620833333332
2024-04-14,16.181399999999993
2024-04-15,15.810541666666667
2024-04-16,17.029191666666662
2024-04-17,23.791916666666662
2024-04-18,27.386337499999996
